,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
2294,4/6/2020 4:56:17,High school,Germany,They were but now they’ve been cancelled because our exams aren’t happening ,Google Teams,I agree,"Videos, Asking students to explain concepts to the class, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,The timetable because our classes overlapped with the year below and teachers didn’t really have one set way of dealing with that,No. It just like being in the room with my teachers and classmates more,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2295,4/6/2020 4:56:18,Graduate,Switzerland,Yes,Zoom,I agree,"Asking students to explain concepts to the class, Q&A with students' questions",Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,"My living situation is the problem, classes are ok. But I cannot study at home.","In-person, because see above.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2296,4/6/2020 4:56:18,Undergraduate,Australia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking you to apply class material to a new context",Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,I want things to be more straight forward and the same across all subjects. ,In person as teachers are more familiar with them being run that way so overall the subject is better structured and classes are conducted better.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2298,4/6/2020 4:56:26,Undergraduate,Malta,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Q&A with students' questions",Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,I would prefer it if we were asked to have our cameras on as it would bring back a sort of normalcy and accountability as lecturers would be able to see if we’re getting distracted. (it’s a more casual way of communicating with the rest of the class than to speak or type in a chat box) ,"I don’t because of the lack of real life interpersonal communication with peers and lecturers, and the additional ease to ignore the lecture whereas being in a physical educational environment would add subtle pressure to pay attention ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2299,4/6/2020 4:56:29,Undergraduate,United Kingdom,Yes,Blackboard collaborate,I agree,"Videos, Asking students to explain concepts to the class",Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,"We barely have any, most of my work now is coursework-based.",I prefer in person classes as in Architecture you need the 1-to-1 support in person as it is easier to show/explain things.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2300,4/6/2020 4:56:30,Undergraduate,United Kingdom,Yes,Microsoft Teams and Recorded lectures ,I agree,Videos,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,More engagement ,"No, I prefer being able to read body language and read the room when I’m there in person. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2301,4/6/2020 4:56:30,High school,Iceland,Yes,Microsoft teams,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Q&A with students' questions",Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,All teachers/classes could use the same platform and do it similarly to construct some type of ruitine for the schoolday. Some teachers are excellent in online classes but others put no effort in it and barely have classes.,Absolutely not. It is way harder to participate and ask questions and the social elememt of school is very important to me. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2302,4/6/2020 4:56:31,Undergraduate,Ireland,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams, Asking you to apply class material to a new context",Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,"I would much prefer if my classes were live, it feels like death by PowerPoint and some of my lectures have over 100 slides. These lectures take a long time to download and often do not have the recording attached. We have spoken to our lecturers but they have not been able to fix the problem.",I don’t prefer online classes. It is very rigid and I don’t feel prepared for my assessments even though I have completed my work. I don’t think I will do as well as I want to.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2304,4/6/2020 4:56:33,High school,Bahrain,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,I don’t always have live online classes so having more of those would make learning more interesting and distract me less,"No, in person classes are much more engaging and interactive, compared to online  classes where there might be a lot of distraction around you",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2305,4/6/2020 4:56:34,Undergraduate,China,Yes,"Tencent Meeting, QQ",I agree,"In-class assessments/quizzes, Videos",Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,To include more discussions and group work.,"I prefer in-person classes, because that way I feel more responsible and engaged to the classes.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2306,4/6/2020 4:56:36,High school,United Kingdom,Completing coursework at home and receiving feedback through email,"VLE, a virtual learning environment specific to my sixth form and also receiving emails from teachers.",I agree,Q&A with students' questions,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,I’d have the teachers more easily accessible and make them reply to their emails faster,In person - easier to ask for help on things your stuck on,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2307,4/6/2020 4:56:37,Undergraduate,Ireland,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Probably more homework to make me to the lecture ,Online ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2309,4/6/2020 4:56:39,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos",Disagree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Include more interactive-processes such as quizzes and smaller assessment type things to motivate more completion ,"No, I study chemistry therefore I find it more helpful to be there in person when we are going through content as it is often explained more thoroughly and easier to get clarity over the specifics. I am also more motivated to attend classes in person and have been struggling with getting work done via the online platform",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2310,4/6/2020 4:56:39,Undergraduate,Belgium,Yes,Bongo online learning platform and just video's our teachers send us,I agree,Videos,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,"Have more opportunities to reflect on the material during class instead of just the teacher rambling of a list of new concepts and ending the class
","No, I miss my galls and it's harder to contact the tracher when you have a problem",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2312,4/6/2020 4:56:41,Undergraduate,Croatia,Yes,Google Teams,I agree,In-class assessments/quizzes,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,I would like for some of my classes to be recored because it would be easier to understand materials.,I like in-person classes just because online classes are not performed with the same quality as the in-person classes.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2313,4/6/2020 4:56:41,Undergraduate,New Zealand,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,I wish it would be more interactive eg they give us an exemplar  exam question  at the end of the lecture but they don’t go though a process of how to tackle the question/how to answer it. They just expect us to know from the content they’ve given us. That is not how I learn/understand interlinking concepts.,"No I prefer physical lectures as it makes me feel more engaged with the content, the lecturer, and my peers. Especially because I do an immunology degree so all my labs are now online which means I am not gaining any skills that would help me learn and understand content / prep me for my actual career (as they just post videos of what we would do/see in the lab we don’t actually get to do anything anymore for all 4 of my classes). ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2315,4/6/2020 4:56:42,Undergraduate,Sweden,Yes,Zoom,I agree,"Videos, Small group activities where you solve a problem together",Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,"Less videos to watch and more live lectures on Zoom, that way I will actually focus and get things done on time instead of procrastinating and losing my concentration every 5 minutes.","No, because the process of having to get dressed and go to class makes it feel more serious leading to me doing better in class. Also that way I can feel productive. I still think live lectures can be nice to have from time to time but not for every single lecture. Recorded lectures where teachers record an audio to the PowerPoints is awful. Also, my program involves a lot of laboratory moments and it's had to do that online, let alone learn from it. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2318,4/6/2020 4:56:44,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Asking you to apply class material to a new context",Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Maybe upload them at the time the lectures would’ve happened to help keep a routine,"In person, feels more interactive ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2320,4/6/2020 4:56:47,Undergraduate,Netherlands,Yes,"Skype for Business, Brightspace virtual classroom",I agree,"Small group activities where you solve a problem together, Role playing situations, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,More interaction,"No, I dislike the limited interactions you have in online classes + the inability to see/sit with your friends/peers",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2321,4/6/2020 4:56:48,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,Videos,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,More emphasis on group work ,I don’t because it doesn’t feel compulsory at the moment ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2322,4/6/2020 4:56:50,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together",Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,"The inclusion of guest speakers sometimes is not great as it requires full attention and also a quiet and calm environment to sit in on the class, which is impossible for many students trying to learn from home. For example, I have several younger siblings and a big family and live in a small house where it’s hard to get privacy, which makes it extremely difficult to try and focus in important lectures, and I’ve already had to miss some of them.","Definitely not, I prefer in-person classes as I feel much more motivated for them once I’ve made the effort to go there in person and devote my attention to them. Whereas online, there are so many other distractions and I never am able to give it my undivided attention. Being there in person almost forces you to be attentive and take notes which is beneficial.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2323,4/6/2020 4:56:52,High school,United Kingdom,Yes,just sending powerpoints- it’s terrible ,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,teacher students to be face to face with a q and a section or pauses to ask questions ,IN PERSON- you can ask questions and the structure and flow of the lesson is better,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2325,4/6/2020 4:56:54,Undergraduate,Australia,Yes,Blackboard Collaborate ,I agree,"Explanation using Diagrams, Q&A with students' questions",Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,"Currently classes are typically presented as a two-three hour lecture with time to answer questions half-way through, or at the end. I think it would be more beneficial to break this into smaller time slots so students could process what was learnt and prepare any questions they wish to ask before the next class for a particular subject","No I do not prefer online classes as they currently stand. Due to the limited time in which classes moved to online formats, very limited adaptations have been made to ensure the quality of teaching is maintained. It feels as if students have been left to teach themselves, reducing motivation to continue studying effectively ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2326,4/6/2020 4:56:54,Graduate,Croatia,Yes,Google Teams,I agree,"Videos, Q&A with students' questions",Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Neutral,I wouldn't because I think our professors are doing their best and I think those type if classes are just not for me. ,I prefere in-person classes because I am more motivated when I'm with my peers in classroom environment and that's something I'm used to so it's more familiar for me to learn this way. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2329,4/6/2020 4:57:02,Undergraduate,Netherlands,Yes,Both Microsoft teams and zoom,I agree,"Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,"One of my courses works with small breakout groups, which I think is something that would be valuable in other courses as well in order to increase participation, engagement and understanding of the material. ","Yes, as it gives me more freedom and relies more on my own motivation rather than more forced, external motivation by a teacher watching you (my classes have a maximum of 28 students and is already highly based on in-class discussions and participation). ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2330,4/6/2020 4:57:04,High school,Slovenia,Yes,Zoom,I agree,"Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,since most teachers use the free version of zoom we often get cut out and can’t finish the whole lesson. other than that they’re doing the best they can,I feel like I get more work done since I can’t copy anything from my friends and I’m actually forced to do the homework because we now have deadlines,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2331,4/6/2020 4:57:05,High school,United Kingdom,Yes,Microsoft Teams,I agree,"In-class assessments/quizzes, Videos, Asking you to apply class material to a new context",Neutral,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,More interactive and engaging,In-person because then we’re held accountable that we’re paying attention and learning,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2332,4/6/2020 4:57:06,High school,United Kingdom,Tasks set online,Firefly ,I agree,In-class assessments/quizzes,Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,More notes to copy,Online ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2333,4/6/2020 4:57:06,Undergraduate,United Kingdom,Yes,Microsoft Teams,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Neutral,Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Smaller classes ,No - I'm a medical student and trying to do a practical subject online rather than in class/on placement just isn't as effective ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2334,4/6/2020 4:57:07,Undergraduate,Germany,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Debates, Asking you to apply class material to a new context",Agree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,More teachers should use powerpoint in addition to the audio files. ,"I prefer online classes, because I am able to take care of my family, while working from home.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2336,4/6/2020 4:57:16,Undergraduate,Netherlands,Yes,Recorded Lectures,I agree,"Videos, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Disagree,-,It saves me time travelling to uni. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2337,4/6/2020 4:57:16,High school,United Kingdom,Sent through email ,Email,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Asking you to apply class material to a new context",Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,I wish we could have class calls with teachers to ask our questions ,I prefer in person classes as it’s easier to interact ads group ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2339,4/6/2020 4:57:20,Undergraduate,United Kingdom,Yes,Zoom,I agree,"Asking students to explain concepts to the class, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree, More interactive so I’m more engaged. ,I’m usually in a class of around 25 people in a classroom. My course is usually engaging and interactive. Since moving to online class I have had no motivation and I struggle to pay attention. I definitely need to be taught in person and as I am not my understanding has diminished.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2341,4/6/2020 4:57:24,Undergraduate,Malta,Yes,"A combination of Zoom, Google Meet and recorded lectures, depending on each individual lecturer.",I agree,"Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,I'd prefer it if all of my online lectures were live rather than pre recorded as they would give is more opportunity to ask questions on the spot rather than having to send emails.,"I prefer in-person classes as I miss the socialisation that happens in between classes. However, when it comes to learning the material I feel like there is barely any difference between the two as long as the classes are held live.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2342,4/6/2020 4:57:25,Undergraduate,Australia,Yes,And WebEx,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context, Peer review of assessments, partner discussions prior to group discussions. ",Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,"Our communication with our teachers regarding general logistics has been fairly incoherent. 
One email with all the info is all that is needed😅","No. There are less technical difficulties during in-person classes. I feel more present and forced to engage more. There are less distractions. 
During lock down in particular, I’m also unable to go to a library to study in a different environment, meaning I’m stuck at home and my work ethic, I’ve found, has a tendency to decline when I don’t switch up my study environment. Going outside or into a different room help, but they can only do so much. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2343,4/6/2020 4:57:26,High school,United Kingdom,Yes,Glow/Microsoft teams,I agree,"In-class assessments/quizzes, Asking you to apply class material to a new context",Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Currently we don’t do actual video classes we’re just given work to do that day + then we’re expected to hand it in at the end of the day. If I could change one thing I would ask that classes were done over zoom so that we have the opportunity to ask the teachers questions face-to-face as currently we have to email/message them if we have any questions + sometimes it takes them a while to reply. It might also be easier to understand if we got explanations of things we don’t understand in person. ,I prefer in-person classes but I don’t mind online classes. My school is ten miles away so it means I don’t have to do a bus journey every morning. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2346,4/6/2020 4:57:28,Undergraduate,Australia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,I don’t like breakout rooms they are scary!,No because no social interaction ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2350,4/6/2020 4:57:33,Undergraduate,United Kingdom,Yes,Blackboard ,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,I would like our lecturers to include more online quizzes as an easier way to engage with students ,I prefer in person classes because I feel more engaged in a completely separate teaching environment from my room/home and prefer seeing the lecturer face to face in the same room ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2351,4/6/2020 4:57:36,High school,Maldives,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Debates, Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Q&A with students' questions",Neutral,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Use Zoom classroom ,No. Because I don’t understand most of the things and I’m not motivated enough.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2352,4/6/2020 4:57:37,Graduate,Kenya,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Asking you to apply class material to a new context",Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,I would make sure that the classes are more interactive with the teachers and give a chance for the students to discuss matters more. Maybe setting fun research projects,"I prefer in-class lessons because it is much easier to focus and is easier to ask questions if you don’t understand. It makes sure that you do your work rather than let’s say, going on your phone",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2355,4/6/2020 4:57:47,Undergraduate,France,Yes,Recorded Lectures,I agree,They're just making resumes for what they would have said in class. ,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Reorganizing our normal exercises / papers to adapt to the situation,"No, I don't personally have any structure and can't work properly from home. I have suffered from anxiety and depression and can't find motivation being alone in my appartement. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2357,4/6/2020 4:57:49,Undergraduate,Australia,Yes,Recorded Lectures,I agree,"Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Role playing situations",Neutral,Neutral,Agree,Disagree,Agree,Agree,Disagree,Attendance should still be taken into consideration for tutorials. Greater motivation to actually attend them. ,"I like having the option to watch a lecture online if I'm busy, but generally speaking I prefer to attend classes in person. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2358,4/6/2020 4:57:51,High school,Ireland,Yes,edmodo ,I agree,"In-class assessments/quizzes, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,nothing,no because in person classes are much more engaging and interactive and motivating than online classes. it’s easier to be less distracted and focus in class if it is in person,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2359,4/6/2020 4:57:51,High school,Turkey,Yes,Zoom,I agree,Small group activities where you solve a problem together,Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Neutral,I would make more interactive with including students more instead of teachers talking all lesson.,yes I prefer. I am a homy and loner person so I like studying alone at home. And I dont need to take buses to get to school. I don't have to wear a uniform. Its better,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2361,4/6/2020 4:57:56,Undergraduate,Netherlands,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,"There should be a tool that would make it easier to speak out, because of delays in the video it is difficult to figure out if someone else is attempting to speak at the same time","I prefer in-person classes because my University uses Problem based learning, which requires discussion and debate in class. In my experience this has worked far better in face to face.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2363,4/6/2020 4:58:01,Undergraduate,United Kingdom,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Having a smaller group at one time.,No. I go to a musical theatre school and being in person is way more exciting and beneficial. But due to circumstances we are having the best training possible from our teachers.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2365,4/6/2020 4:58:02,Undergraduate,Germany,Yes,Zoom,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions",Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,More interaction with students,I don't because the work environment changes to a way more relaxed one which provides distraction,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2366,4/6/2020 4:58:02,High school,United Kingdom,Yes,Google Teams,I agree,"Explanation using Diagrams, Asking you to apply class material to a new context",Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,"More video calls, cause makes me feel more like I’m in an actual class","No, because less motivation and when you don’t understand a concept it’s harder for the teacher to explain it to you",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2367,4/6/2020 4:58:05,Undergraduate,Spain,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Asking you to apply class material to a new context",Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,I would prefer them to be more interactive. ,No I do not prefer online classes because I find them more difficult due to a lack of motivation and focus. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2368,4/6/2020 4:58:07,Undergraduate,New Zealand,Yes,BigBlueButton ,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Lecturer controls who can speak. ,In-person classes because I learn practical skills there. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2369,4/6/2020 4:58:07,Undergraduate,United Kingdom,Yes,Big blue button and Microsoft teams ,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,I wish they more like a conversation than a lecture,I prefer in person classes. I think being in an environment such as university helps me focus and I concentrate more ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2370,4/6/2020 4:58:08,Undergraduate,United Kingdom,Yes,Learning from PowerPoints and notes ,I agree,Asking you to apply class material to a new context,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Maybe have zoom calls ,Flexibility but I like being in a physical class to talk about the subject ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2371,4/6/2020 4:58:08,High school,New Zealand,Yes,Microsoft Teams,I agree,"Videos, Explanation using Diagrams",Agree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,"Further explanation of what we are learning about, like a normal class would be - many of my classes we are on a video call for like two minutes, then given something like a worksheet to do. I don’t find it motivating at all and prefer the classes that I stay on the call and interact with the teacher the whole time. I think this is because I learn much better in a social environment in class, rather than on my own as I struggle more for motivation. If I could I would stay on a video call for the whole duration of class","No, I’m struggling with motivation even more than I was before and I don’t have the interaction with other classmates which bus something that I benefit a lot from in school",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2372,4/6/2020 4:58:14,Postgraduate,Germany,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,The platform,In-person because i am more concentrated,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2373,4/6/2020 4:58:17,Graduate,Belgium,Yes,Google Teams,I agree,"We only use teams for group assessment and meetings, so not for learning ( the professors only drop their PowerPoint presentations on our platform, some include spoken text messages",Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,"I wish we had online classes, the ones we have are just recorded video fragments. So we don’t engage with other students or the professor. I wish we had something like zoom, so we could actively learn.","No, because we don’t get to ask questions and it’s harder to concentrate and to be motivated.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
2374,4/6/2020 4:58:18,High school,Lithuania,Yes,Microsoft Teams,I agree,"In-class assessments/quizzes, Videos",Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,I wouldn’t change anything,"In person, because I learn better and I get less discracted",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2375,4/6/2020 4:58:19,High school,United Kingdom,Yes,Google Classroom ,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,My classes are flexible. I have asd so I tend to do my word later than my classmates ,I prefer online classes because it takes away so much anxiety in my opinion.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2376,4/6/2020 4:58:19,sixth form,United Kingdom,Yes,google classroom,I agree,"Videos, Asking you to apply class material to a new context",Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,actually have online classes where the teachers can explain stuff instead being just left to do it ourselves ,in person classes - better atmosphere ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2377,4/6/2020 4:58:20,A-level,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos",Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,More interaction so I would not be demotivated ,I do not. I personally need someone there to help me learn and so I can fully understand what they are teaching not through their words ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2378,4/6/2020 4:58:20,Graduate,Germany,Yes,Uni website informs about assignments,I agree,"Videos, Asking you to apply class material to a new context, Essay questions",Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,-,"In person classes. Our ""online classes"" aren't classes per se, we just work at home on our own an any time, reading or writing essays. So there's no community, no discussions etc.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
